topic,count,percentage
1,120,0.19900497512437812
2,41,0.06799336650082918
3,109,0.18076285240464346
4,125,0.20729684908789386
5,64,0.10613598673300166
6,39,0.06467661691542288
7,44,0.07296849087893864
8,30,0.04975124378109453
9,15,0.024875621890547265
10,16,0.026533996683250415
