topic,count,percentage
1,288,0.23300970873786409
2,208,0.16828478964401294
3,152,0.12297734627831715
4,175,0.14158576051779936
5,186,0.15048543689320387
6,51,0.0412621359223301
7,49,0.03964401294498382
8,28,0.022653721682847898
9,29,0.023462783171521034
10,70,0.05663430420711974
