topic,count,percentage
1,161,0.1872093023255814
2,158,0.18372093023255814
3,153,0.17790697674418604
4,100,0.11627906976744186
5,46,0.053488372093023255
6,41,0.047674418604651166
7,61,0.07093023255813953
8,80,0.09302325581395349
9,37,0.04302325581395349
10,23,0.026744186046511628
